"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Participant roster ID. NOTE: 9999999 denotes pooled sample.","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Asp","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Aspartic Acid","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 133.10268; MOLECULARFORMULA = C4H7NO4; KEGG = C00402; MOLECULE = D-Aspartic acid; CAS = 1783-96-6; INCHIKEY = CKLJMWTZIZZHCS-UWTATZPHSA-N; HMDB = HMDB06483           ; CHEBI = 17364               ; IUPAC = (2R)-2-aminobutanedioic acid; ISOMERIC = C([C@H](C(=O)O)N)C(=O)O; INCHI = InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1; MESH = Aspartic Acid; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Cit","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Citrulline","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 175.18572; MOLECULARFORMULA = C6H13N3O3; KEGG = C00327; MOLECULE = L-Citrulline; CAS = 372-75-8; INCHIKEY = RHGKLRLOHDJJDR-BYPYZUCNSA-N; HMDB = HMDB00904           ; CHEBI = 16349               ; IUPAC = (2S)-2-amino-5-(carbamoylamino)pentanoic acid; ISOMERIC = C(C[C@@H](C(=O)O)N)CNC(=O)N; INCHI = InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1; MESH = Citrulline; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Gln","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Glutamine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 146.1445; MOLECULARFORMULA = C5H10N2O3; KEGG = C00064; MOLECULE = L-Glutamine; CAS = 56-85-9; INCHIKEY = ZDXPYRJPNDTMRX-VKHMYHEASA-N; HMDB = HMDB00641           ; CHEBI = 18050               ; IUPAC = (2S)-2,5-diamino-5-oxopentanoic acid; ISOMERIC = C(CC(=O)N)[C@@H](C(=O)O)N; INCHI = InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1; MESH = Glutamine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Glu","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Glutamic Acid","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 147.12926; MOLECULARFORMULA = C5H9NO4; KEGG = C00217; MOLECULE = D-Glutamic acid; CAS = 6893-26-1; INCHIKEY = WHUUTDBJXJRKMK-GSVOUGTGSA-N; HMDB = HMDB03339           ; CHEBI = 15966               ; IUPAC = (2R)-2-aminopentanedioic acid; ISOMERIC = C(CC(=O)O)[C@H](C(=O)O)N; INCHI = InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m1/s1; MESH = Glutamic Acid; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Gly","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Glycine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 75.0666; MOLECULARFORMULA = C2H5NO2; KEGG = C00037; MOLECULE = Glycine; CAS = 56-40-6; INCHIKEY = DHMQDGOQFOQNFH-UHFFFAOYSA-N; HMDB = HMDB00123           ; CHEBI = 15428               ; IUPAC = 2-aminoacetic acid; ISOMERIC = C(C(=O)O)N; INCHI = InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5); MESH = Glycine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","His","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Histidine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 155.15456; MOLECULARFORMULA = C6H9N3O2; KEGG = C00135; MOLECULE = L-Histidine; CAS = 71-00-1; INCHIKEY = HNDVDQJCIGZPNO-YFKPBYRVSA-N; HMDB = HMDB00177           ; CHEBI = 15971               ; IUPAC = (2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid; ISOMERIC = C1=C(NC=N1)C[C@@H](C(=O)O)N; INCHI = InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1; MESH = Histidine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Ile","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Isoleucine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 131.17292; MOLECULARFORMULA = C6H13NO2; KEGG = C16434; MOLECULE = Isoleucine; CAS = 443-79-8; INCHIKEY = AGPKZVBTJJNPAG-UHFFFAOYSA-N; HMDB = ; CHEBI = 24898               ; IUPAC = 2-amino-3-methylpentanoic acid; ISOMERIC = CCC(C)C(C(=O)O)N; INCHI = InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9); MESH = Isoleucine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Lys","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Lysine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 146.18756; MOLECULARFORMULA = C6H14N2O2; KEGG = C00739; MOLECULE = D-Lysine; CAS = 923-27-3; INCHIKEY = KDXKERNSBIXSRK-RXMQYKEDSA-N; HMDB = HMDB03405           ; CHEBI = 16855               ; IUPAC = (2R)-2,6-diaminohexanoic acid; ISOMERIC = C(CCN)C[C@H](C(=O)O)N; INCHI = InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m1/s1; MESH = Lysine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Met","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Methionine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 149.21134; MOLECULARFORMULA = C5H11NO2S; KEGG = C01733; MOLECULE = Methionine; CAS = 59-51-8; INCHIKEY = FFEARJCKVFRZRR-UHFFFAOYSA-N; HMDB = ; CHEBI = 168116              ; IUPAC = 2-amino-4-methylsulfanylbutanoic acid; ISOMERIC = CSCCC(C(=O)O)N; INCHI = InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8); MESH = Methionine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Orn","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Ornithine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 132.16098; MOLECULARFORMULA = C5H12N2O2; KEGG = C00515; MOLECULE = D-Ornithine; CAS = 348-66-3; INCHIKEY = AHLPHDHHMVZTML-SCSAIBSYSA-N; HMDB = HMDB03374           ; CHEBI = 16176               ; IUPAC = (2R)-2,5-diaminopentanoic acid; ISOMERIC = C(C[C@H](C(=O)O)N)CN; INCHI = InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m1/s1; MESH = Ornithine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Phe","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Phenylalanine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 165.18914; MOLECULARFORMULA = C9H11NO2; KEGG = C02265; MOLECULE = D-Phenylalanine; CAS = 673-06-3; INCHIKEY = COLNVLDHVKWLRT-MRVPVSSYSA-N; HMDB = ; CHEBI = 16998               ; IUPAC = (2R)-2-amino-3-phenylpropanoic acid; ISOMERIC = C1=CC=C(C=C1)C[C@H](C(=O)O)N; INCHI = InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m1/s1; MESH = Phenylalanine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Pro","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Proline","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 115.13046; MOLECULARFORMULA = C5H9NO2; KEGG = C00148; MOLECULE = L-Proline; CAS = 147-85-3; INCHIKEY = ONIBWKKTOPOVIA-BYPYZUCNSA-N; HMDB = HMDB00162           ; CHEBI = 17203               ; IUPAC = (2S)-pyrrolidine-2-carboxylic acid; ISOMERIC = C1C[C@H](NC1)C(=O)O; INCHI = InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1; MESH = Proline; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Ser","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Serine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 105.09258; MOLECULARFORMULA = C3H7NO3; KEGG = C00716; MOLECULE = Serine; CAS = 302-84-1; INCHIKEY = MTCFGRXMJLQNBG-UHFFFAOYSA-N; HMDB = ; CHEBI = 17822               ; IUPAC = 2-amino-3-hydroxypropanoic acid; ISOMERIC = C(C(C(=O)O)N)O; INCHI = InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7); MESH = Serine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Thr","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Threonine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 119.11916; MOLECULARFORMULA = C4H9NO3; KEGG = C00820; MOLECULE = D-Threonine; CAS = 632-20-2; INCHIKEY = AYFVYJQAPQTCCC-STHAYSLISA-N; HMDB = ; CHEBI = 16398               ; IUPAC = (2R,3S)-2-amino-3-hydroxybutanoic acid; ISOMERIC = C[C@@H]([C@H](C(=O)O)N)O; INCHI = InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m0/s1; MESH = Threonine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Trp","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Tryptophan","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 204.22518; MOLECULARFORMULA = C11H12N2O2; KEGG = C00806; MOLECULE = Tryptophan; CAS = 54-12-6; INCHIKEY = QIVBCDIJIAJPQS-UHFFFAOYSA-N; HMDB = ; CHEBI = 27897               ; IUPAC = 2-amino-3-(1H-indol-3-yl)propanoic acid; ISOMERIC = C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N; INCHI = InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15); MESH = Tryptophan; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Tyr","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Tyrosine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 181.18854; MOLECULARFORMULA = C9H11NO3; KEGG = C00082; MOLECULE = L-Tyrosine; CAS = 60-18-4; INCHIKEY = OUYCCCASQSFEME-QMMMGPOBSA-N; HMDB = HMDB00158           ; CHEBI = 17895               ; IUPAC = (2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid; ISOMERIC = C1=CC(=CC=C1C[C@@H](C(=O)O)N)O; INCHI = InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1; MESH = Tyrosine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Val","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Valine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 117.14634; MOLECULARFORMULA = C5H11NO2; KEGG = C06417; MOLECULE = D-Valine; CAS = 640-68-6; INCHIKEY = KZSNJWFQEVHDMF-SCSAIBSYSA-N; HMDB = ; CHEBI = 27477               ; IUPAC = (2R)-2-amino-3-methylbutanoic acid; ISOMERIC = CC(C)[C@H](C(=O)O)N; INCHI = InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s1; MESH = Valine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","Ac.Orn","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Acetylornithine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = N-Acetyl-Ornithine; MOLECULEWEIGHT = 174.19766; MOLECULARFORMULA = C7H14N2O3; KEGG = C00437; MOLECULE = Acetyl-L-ornithine; CAS = 6205-08-9; INCHIKEY = JRLGPAXAGHMNOL-LURJTMIESA-N; HMDB = HMDB03357           ; CHEBI = 16543               ; IUPAC = (2S)-2-acetamido-5-aminopentanoic acid; ISOMERIC = CC(=O)N[C@@H](CCCN)C(=O)O; INCHI = InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1; MESH = N(delta)-acetylornithine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","ADMA","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","Asymmetric dimethylarginine","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 202.25412; MOLECULARFORMULA = C8H18N4O2; KEGG = C03626; MOLECULE = L-Asymmetric dimethylarginine; CAS = 30315-93-6; INCHIKEY = YDGMGEXADBMOMJ-LURJTMIESA-N; HMDB = HMDB01539           ; CHEBI = 17929               ; IUPAC = (2S)-2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid; ISOMERIC = CN(C)C(=NCCC[C@@H](C(=O)O)N)N; INCHI = InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1; MESH = N,N-dimethylarginine; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","alpha.AAA","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","alpha-Aminoadipic acid","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = ; MOLECULEWEIGHT = 161.15584; MOLECULARFORMULA = C6H11NO4; KEGG = ; MOLECULE = D-2-Aminoadipic acid; CAS = 7620-28-2; INCHIKEY = OYIFNHCXNCRBQI-SCSAIBSYSA-N; HMDB = ; CHEBI = 37025               ; IUPAC = (2R)-2-aminohexanedioic acid; ISOMERIC = C(C[C@H](C(=O)O)N)CC(=O)O; INCHI = InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m1/s1; MESH = 2-Aminoadipic  acid; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
"","c4.OH.Pro","ADMCDUKEP180UPLC","AD Metabolomics Consortium Duke Biocrates P180 Kit Ultra Performance Liquid Chromatography","-4","c4-OH-proline ","-4","-4","-4","-4","","-4","-4","-4","-4","-4","DESCRIPTION = cis isomer of 4-hydroxyproline ; MOLECULEWEIGHT = NA; MOLECULARFORMULA = ; KEGG = ; MOLECULE = ; CAS = ; INCHIKEY = ; HMDB = ; CHEBI = ; IUPAC = ; ISOMERIC = ; INCHI = ; MESH = ; LMID = ","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2015-08-13 09:12:35.0"
